date,mean_wind_speed_kph,max_hourly_mean_wind_speed_kph,min_hourly_mean_wind_speed_kph,high_ten_min_mean_wind_speed_kph,wind_direction_at_max_ten_min_mean_deg,highest_gust_speed_kph
2015-11-02,10.73,14.816,3.704,20.35,160,33.3
2015-11-03,5.55,9.26,3.704,11.1,110,14.8
2015-11-04,7.03,11.112,1.852,12.95,100,18.5
2015-11-05,12.77,16.668,7.408,20.35,190,29.6
2015-11-06,15.91,22.224,9.26,27.75,230,42.55
2015-11-07,13.13,20.372,5.556,24.05,210,35.15
2015-11-08,20.91,31.484,12.964,37,260,62.9
2015-11-09,32.19,40.744,18.52,44.4,210,70.3
2015-11-10,25.16,35.188,14.816,37,210,64.75
2015-11-11,17.76,31.484,9.26,35.15,230,57.35
2015-11-12,23.12,42.596,5.556,49.95,220,85.1
2015-11-13,21.64,29.632,9.26,38.85,240,81.4
2015-11-14,20.54,40.744,7.408,44.4,220,77.7
2015-11-15,35.15,40.744,25.928,49.95,280,79.55
2015-11-16,17.76,35.188,7.408,38.85,260,61.05
2015-11-17,17.76,38.892,5.556,55.5,260,96.2
2015-11-18,26.83,35.188,11.112,40.7,190,64.75
2015-11-19,14.62,27.78,7.408,27.75,260,38.85
2015-11-20,19.24,25.928,11.112,31.45,310,61.05
2015-11-21,14.99,29.632,9.26,38.85,330,62.9
2015-11-22,9.43,14.816,1.852,18.5,310,33.3
2015-11-23,13.69,24.076,1.852,25.9,210,38.85
2015-11-24,21.09,25.928,12.964,29.6,300,48.1
2015-11-25,21.83,31.484,14.816,35.15,290,53.65
2015-11-26,17.58,22.224,9.26,25.9,260,38.85
2015-11-27,22.01,29.632,14.816,38.85,240,62.9
2015-11-28,25.34,31.484,14.816,42.55,270,72.15
2015-11-29,29.41,51.856,11.112,59.2,250,94.35
2015-11-30,11.1,27.78,1.852,33.3,220,49.95
2015-12-01,30.9,40.744,9.26,42.55,190,68.45
2015-12-02,16.09,38.892,1.852,42.55,190,68.45
2015-12-03,9.07,16.668,3.704,20.35,190,31.45
2015-12-04,34.6,50.004,9.26,53.65,210,96.2
2015-12-05,42.18,48.152,37.04,49.95,210,90.65
2015-12-06,15.73,48.152,5.556,55.5,210,83.25
2015-12-07,28.68,42.596,18.52,46.25,160,74
2015-12-08,21.09,29.632,11.112,42.55,270,64.75
2015-12-09,32.93,53.708,16.668,59.2,200,86.95
2015-12-10,15.91,22.224,7.408,37,210,53.65
2015-12-11,17.94,29.632,5.556,46.25,230,70.3
2015-12-12,13.69,27.78,3.704,31.45,20,46.25
2015-12-13,14.99,20.372,7.408,24.05,150,37
2015-12-14,20.35,29.632,11.112,33.3,90,51.8
2015-12-15,24.24,31.484,11.112,37,120,55.5
2015-12-16,18.31,27.78,5.556,31.45,150,49.95
2015-12-17,27.19,37.04,18.52,42.55,160,64.75
2015-12-18,23.86,31.484,18.52,35.15,150,59.2
2015-12-19,26.27,35.188,16.668,40.7,190,62.9
2015-12-20,17.94,27.78,11.112,33.3,190,53.65
2015-12-21,23.12,29.632,12.964,38.85,260,61.05
2015-12-22,22.57,46.3,9.26,51.8,200,75.85
2015-12-23,25.71,37.04,11.112,42.55,160,68.45
2015-12-24,20.72,37.04,11.112,42.55,260,66.6
2015-12-25,13.88,24.076,7.408,25.9,50,37
2015-12-26,6.48,9.26,1.852,11.1,220,16.65
2015-12-27,16.46,29.632,5.556,33.3,140,55.5
2015-12-28,20.16,35.188,7.408,40.7,150,62.9
2015-12-29,27.56,48.152,5.556,51.8,160,86.95
2015-12-30,16.28,40.744,5.556,40.7,210,66.6
2015-12-31,15.17,25.928,5.556,42.55,280,68.45
2016-01-01,22.2,35.188,9.26,37,110,55.5
2016-01-02,13.13,22.224,5.556,24.05,290,35.15
2016-01-03,18.31,35.188,11.112,37,100,55.5
2016-01-04,10.36,14.816,7.408,16.65,30,22.2
2016-01-05,11.66,14.816,7.408,18.5,340,29.6
2016-01-06,15.54,33.336,3.704,35.15,120,57.35
2016-01-07,16.65,24.076,7.408,33.3,250,53.65
2016-01-08,7.96,16.668,1.852,16.65,160,25.9
2016-01-09,9.81,18.52,1.852,20.35,100,31.45
2016-01-10,11.28,16.668,3.704,20.35,210,29.6
2016-01-11,15.17,24.076,5.556,35.15,310,57.35
2016-01-12,18.87,31.484,7.408,42.55,310,68.45
2016-01-13,11.1,14.816,9.26,18.5,250,29.6
2016-01-14,12.21,18.52,5.556,27.75,260,42.55
2016-01-15,10.36,20.372,1.852,25.9,280,48.1
2016-01-16,7.03,11.112,1.852,12.95,170,18.5
2016-01-17,15.73,22.224,7.408,27.75,110,42.55
2016-01-18,8.33,18.52,3.704,18.5,110,25.9
2016-01-19,6.29,11.112,3.704,14.8,110,20.35
2016-01-20,20.16,29.632,11.112,33.3,100,49.95
2016-01-21,21.28,29.632,14.816,31.45,120,51.8
2016-01-22,26.83,35.188,16.668,40.7,220,68.45
2016-01-23,19.42,24.076,9.26,29.6,170,46.25
2016-01-24,26.64,31.484,20.372,35.15,190,61.05
2016-01-25,24.05,33.336,16.668,38.85,160,61.05
2016-01-26,27.19,48.152,5.556,53.65,200,85.1
2016-01-27,17.76,27.78,7.408,35.15,250,53.65
2016-01-28,27.19,38.892,14.816,46.25,220,72.15
2016-01-29,33.3,51.856,20.372,59.2,260,96.2
2016-01-30,22.01,37.04,12.964,44.4,250,74
2016-01-31,24.42,35.188,9.26,44.4,220,66.6
2016-02-01,39.22,50.004,33.336,59.2,240,90.65
2016-02-02,22.2,33.336,11.112,44.4,250,83.25
2016-02-03,20.91,29.632,11.112,38.85,270,61.05
2016-02-04,22.39,35.188,9.26,37,200,55.5
2016-02-05,20.54,37.04,5.556,40.7,200,64.75
2016-02-06,23.68,46.3,14.816,49.95,210,77.7
2016-02-07,25.71,37.04,16.668,48.1,250,81.4
2016-02-08,27.01,40.744,18.52,48.1,260,74
2016-02-09,22.57,40.744,5.556,46.25,280,70.3
2016-02-10,6.29,9.26,3.704,12.95,240,22.2
2016-02-11,5.55,9.26,1.852,14.8,50,20.35
2016-02-12,12.39,16.668,7.408,22.2,100,31.45
2016-02-13,19.61,24.076,9.26,27.75,100,44.4
2016-02-14,16.65,24.076,9.26,27.75,50,37
2016-02-15,10.92,18.52,1.852,24.05,150,35.15
2016-02-16,22.39,35.188,3.704,37,200,62.9
2016-02-17,10.54,18.52,1.852,29.6,240,46.25
2016-02-18,11.47,25.928,5.556,29.6,270,51.8
2016-02-19,24.24,38.892,12.964,44.4,260,62.9
2016-02-20,22.76,35.188,11.112,37,250,55.5
2016-02-21,20.91,31.484,5.556,33.3,270,53.65
2016-02-22,12.39,24.076,5.556,27.75,270,40.7
2016-02-23,8.51,14.816,3.704,16.65,40,25.9
2016-02-24,7.22,12.964,1.852,20.35,340,27.75
2016-02-25,8.51,14.816,1.852,16.65,160,25.9
2016-02-26,8.33,14.816,3.704,16.65,160,27.75
2016-02-27,9.25,12.964,7.408,14.8,20,20.35
2016-02-28,9.62,16.668,3.704,18.5,160,29.6
2016-02-29,21.64,31.484,12.964,35.15,210,55.5
2016-03-01,25.9,38.892,12.964,51.8,260,77.7
2016-03-02,32.19,53.708,18.52,61.05,270,90.65
2016-03-03,15.36,31.484,7.408,46.25,260,74
2016-03-04,21.83,37.04,7.408,40.7,0,62.9
2016-03-05,14.06,22.224,7.408,27.75,340,48.1
2016-03-06,6.66,14.816,1.852,22.2,290,31.45
2016-03-07,14.06,24.076,7.408,29.6,330,44.4
2016-03-08,14.99,29.632,7.408,35.15,290,53.65
2016-03-09,17.76,27.78,7.408,29.6,310,49.95
2016-03-10,10.36,18.52,3.704,20.35,190,27.75
2016-03-11,16.46,25.928,11.112,27.75,210,40.7
2016-03-12,16.65,25.928,7.408,27.75,200,42.55
2016-03-13,10.92,18.52,7.408,24.05,170,35.15
2016-03-14,16.09,22.224,11.112,25.9,100,37
2016-03-15,14.43,22.224,5.556,25.9,110,38.85
2016-03-16,13.32,16.668,9.26,20.35,70,27.75
2016-03-17,10.73,18.52,5.556,22.2,110,35.15
2016-03-18,9.07,16.668,1.852,20.35,350,29.6
